latitude,longitude,free_bikes,names,ratings,locations,distances,price,popularity,total_photos,total_ratings
49.287097,-123.118551,18,Hy's Steakhouse & Cocktail Bar,8.2,"637 Hornby St (btwn Dunsmuir & Georgia), Vancouver BC V6C 2G3",272,4.0,0.9495740926941244,117.0,93.0
49.287097,-123.118551,18,Tap & Barrel,8.8,"1055 Canada Pl, Vancouver BC V6C 0C3",312,2.0,0.9918233385820796,447.0,353.0
49.287097,-123.118551,18,Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",320,1.0,0.9956365843941491,48.0,10.0
49.287097,-123.118551,18,49th Parallel Café & Lucky's Doughnuts - THURLOW,8.9,"689 Thurlow St, Vancouver BC V6E 0A1",340,1.0,0.9930754491472368,157.0,122.0
49.287097,-123.118551,18,Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",347,,0.9955986416497504,37.0,79.0
49.273471,-123.118016,17,OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",94,1.0,0.9687351786154692,94.0,44.0
49.273471,-123.118016,17,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",162,4.0,0.9513574016808636,29.0,34.0
49.273471,-123.118016,17,Minami Restaurant,9.0,"1118 Mainland St (at Helmcken St.), Vancouver BC V6B 2T9",292,3.0,0.9346246514010358,569.0,326.0
49.273471,-123.118016,17,Mister,8.8,"1141 Mainland St (btwn Davie & Helmcken), Vancouver BC V6B 5P2",297,1.0,0.9652444461307886,109.0,85.0
49.273471,-123.118016,17,Angus T,8.9,"1036 Mainland St, Vancouver BC V6B 2T4",308,1.0,0.9421373147919788,52.0,26.0
49.273471,-123.118016,17,Cooper's Park,8.8,"1020 Marinaside Cres (Cambie Bridge), Vancouver BC",309,,0.9970404659369012,208.0,62.0
49.273471,-123.118016,17,Tacofino,9.0,"1025 Mainland St (Nelson), Vancouver BC V6B 5P9",343,1.0,0.968773121359868,41.0,94.0
49.273471,-123.118016,17,The Flying Pig Yaletown,8.8,"1168 Hamilton St (btwn Davie & Helmcken St), Vancouver BC V6B 2S2",364,3.0,0.9588510936996072,372.0,381.0
49.273471,-123.118016,17,Blue Water Cafe + Raw Bar,9.1,"1095 Hamilton St (at Helmcken St), Vancouver BC V6B 5T4",373,4.0,0.9664775853237464,381.0,317.0
49.273471,-123.118016,17,The Keg Steakhouse + Bar - Yaletown,8.2,"1011 Mainland St (at Nelson St), Vancouver BC V6B 5P9",365,3.0,0.9727950522661304,249.0,210.0
49.282758,-123.122092,11,Lululemon Athletica,8.2,"1148 Robson St (At Burrard St), Vancouver BC V6E 1B2",66,,0.9902107719451348,97.0,123.0
49.282758,-123.122092,11,Vancouver Art Gallery,8.6,"750 Hornby St (btwn Robson & W Georgia St.), Vancouver BC V6Z 2H7",118,,0.9961488114435316,1598.0,564.0
49.282758,-123.122092,11,JOEY Burrard,8.1,"820 Burrard St, Vancouver BC V6Z 1X9",102,2.0,0.9911024264385044,312.0,259.0
49.282758,-123.122092,11,Boulevard Kitchen & Oyster Bar,8.3,"845 Burrard St (Robson Street), Vancouver BC V6Z 2K6",113,4.0,0.9919371668152758,129.0,69.0
49.282758,-123.122092,11,Rocky Mountain Chocolate Factory,8.7,"1017 Robson St (at Burrard St.), Vancouver BC V6E 1A9",130,1.0,0.95526550435393,91.0,64.0
49.282758,-123.122092,11,Indigo - Robson,9.1,"1033 Robson St, Vancouver BC V6E 1A9",174,,0.9947259585285804,99.0,29.0
49.282758,-123.122092,11,Hawksworth Restaurant,9.1,"801 Georgia St W (at Howe St), Vancouver BC V6C 1P7",202,4.0,0.9903246001783308,411.0,273.0
49.282758,-123.122092,11,Le Crocodile Restaurant,8.9,"100A90 Burrard St (Smithe St), Vancouver BC V6Z 2N2",231,4.0,0.9374513858587392,143.0,87.0
49.282758,-123.122092,11,Sephora,8.2,"1045 Robson St, Vancouver BC V6E 1A9",209,,0.9872132951376372,52.0,67.0
49.282758,-123.122092,11,Commodore Ballroom,9.1,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",257,,0.9736487640151013,729.0,295.0
49.28602,-123.116624,2,Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",144,1.0,0.9956365843941491,48.0,10.0
49.28602,-123.116624,2,The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",170,,0.991576710743488,252.0,42.0
49.28602,-123.116624,2,Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",218,,0.9955986416497504,37.0,79.0
49.28602,-123.116624,2,Cactus Club Cafe Bentall 5,8.3,"588 Burrard St (at Dunsmuir St), Vancouver BC V6C 0A8",193,2.0,0.9958832122327408,435.0,328.0
49.28602,-123.116624,2,Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",250,1.0,0.9814270266168352,127.0,69.0
49.28602,-123.116624,2,Hy's Steakhouse & Cocktail Bar,8.2,"637 Hornby St (btwn Dunsmuir & Georgia), Vancouver BC V6C 2G3",237,4.0,0.9495740926941244,117.0,93.0
49.28602,-123.116624,2,The Keg Steakhouse + Bar,8.7,"688 Dunsmuir St, Vancouver BC V6B 1N3",287,2.0,0.982280738365806,141.0,208.0
49.28602,-123.116624,2,Kokoro Tokyo Mazesoba,8.8,"551 Seymour St, Vancouver BC V6B 3H6",310,1.0,0.97924531881391,90.0,40.0
49.28602,-123.116624,2,Granville Square,8.2,"200 Granville St (at W Cordova St), Vancouver BC V6C 1S4",294,,0.9918802526986776,98.0,29.0
49.28602,-123.116624,2,Baghdad Cafe,8.4,"548 Seymour St, Vancouver BC V6B 3J5",318,1.0,0.9670846692341256,39.0,57.0
49.279739,-123.116251,14,Vancouver Public Library,9.1,"350 Georgia St W (btwn Homer & Hamilton), Vancouver BC V6B 6B1",72,,0.9985012615962512,1249.0,389.0
49.279739,-123.116251,14,Cafe Medina,9.0,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",101,2.0,0.9852402724289048,995.0,1116.0
49.279739,-123.116251,14,Fanny Bay Oyster Bar & Shellfish Market,9.0,"762 Cambie St, Vancouver BC V6B 2P2",183,4.0,0.9729657946159246,162.0,60.0
49.279739,-123.116251,14,Black Rice Izakaya,8.5,"782 Cambie St (Robson), Vancouver BC V6B 2P2",184,,0.9254614786287492,64.0,71.0
49.279739,-123.116251,14,Homer St. Cafe and Bar,8.7,"898 Homer St (at Smithe St.), Vancouver BC V6B 2W5",200,2.0,0.9738953918536928,228.0,191.0
